cod_tra;nome_orgao_tra;ano_mes_tra;nome_acao_tra;valor_total_transferencia_tra;valor_transferencia_tra
3366702;Fundo Nacional de Desenvolvimento da Educação;202407;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);17489.4;17489.4
3366703;Fundo Nacional de Desenvolvimento da Educação;202407;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);42537;42537
3366704;Fundo Nacional de Desenvolvimento da Educação;202407;TRANSFERENCIA DAS QUOTAS ESTADUAL E MUNICIPAL DO SALARIO-EDUCACAO;164973.8;164973.8
3371256;Fundo Nacional de Assistência Social;202407;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;8708.09;8708.09
3371257;Fundo Nacional de Assistência Social;202407;ACOES DE PROTECAO SOCIAL BASICA;15440;15440
3371258;Ministério da Saúde - Unidades com vínculo direto;202407;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS, AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;120335.56;120335.56
3371259;Ministério da Saúde - Unidades com vínculo direto;202407;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
3371260;Ministério da Saúde - Unidades com vínculo direto;202407;PISO DE ATENCAO PRIMARIA A SAUDE;9959.31;9959.31
3371261;Ministério da Saúde - Unidades com vínculo direto;202407;PISO DE ATENCAO PRIMARIA A SAUDE;54450.26;54450.26
3371262;Ministério da Saúde - Unidades com vínculo direto;202407;PISO DE ATENCAO PRIMARIA A SAUDE;55080.26;55080.26
3371263;Ministério da Saúde - Unidades com vínculo direto;202407;PISO DE ATENCAO PRIMARIA A SAUDE;168000;168000
3371264;Ministério da Saúde - Unidades com vínculo direto;202407;PISO DE ATENCAO PRIMARIA A SAUDE;1010850;1010850
3371265;Ministério da Saúde - Unidades com vínculo direto;202407;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;115784;115784
3371266;Ministério da Saúde - Unidades com vínculo direto;202407;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
3371267;Ministério da Saúde - Unidades com vínculo direto;202407;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;10073.34;10073.34
3272825;Fundo Nacional de Desenvolvimento da Educação;202406;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);17489.4;17489.4
3272826;Fundo Nacional de Desenvolvimento da Educação;202406;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);42537;42537
3272827;Fundo Nacional de Desenvolvimento da Educação;202406;TRANSFERENCIA DAS QUOTAS ESTADUAL E MUNICIPAL DO SALARIO-EDUCACAO;154018.41;154018.41
3272828;Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto;202406;APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO;1441714;1441714
3277329;Fundo Nacional de Assistência Social;202406;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;11095.28;11095.28
3277330;Ministério da Saúde - Unidades com vínculo direto;202406;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
3277331;Ministério da Saúde - Unidades com vínculo direto;202406;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;200000;200000
3277332;Ministério da Saúde - Unidades com vínculo direto;202406;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;1500000;1500000
